Year,GDP_Growth_Percent,Inflation_Percent,Unemployment_Rate,Oil_Revenue_Percent,Trade_Balance_GDP,Government_Spending_GDP,Population_Growth
2000,2.2,0.3,29.8,38.2,16.8,24.1,1.8
2001,2.7,4.2,27.3,35.4,12.1,25.3,1.7
2002,4.7,1.4,25.9,32.6,8.4,26.2,1.7
2003,6.9,2.6,23.7,36.8,13.2,24.8,1.8
2004,5.2,3.6,17.7,38.1,15.6,23.4,1.8
2005,5.1,1.6,15.3,44.2,21.3,22.7,1.7
2006,2.0,2.5,12.3,40.8,24.1,23.1,1.7
2007,3.0,3.7,13.8,38.5,22.4,24.6,1.8
2008,2.4,4.9,11.3,44.1,28.3,26.8,1.8
2009,1.6,5.7,10.2,26.4,2.1,32.4,1.9
2010,3.6,3.9,10.0,32.8,11.4,29.6,1.9
2011,2.8,4.5,10.0,36.2,15.8,31.2,1.9
2012,3.4,8.9,11.0,34.1,6.2,33.4,1.9
2013,2.8,3.3,9.8,32.6,0.8,34.8,1.9
2014,3.8,2.9,10.6,31.4,-4.1,38.2,1.9
2015,3.7,4.8,11.2,22.8,-16.4,42.6,2.0
2016,3.2,6.4,10.5,19.6,-18.2,40.8,1.9
2017,1.4,5.6,11.7,22.4,-12.6,38.4,1.9
2018,1.4,4.3,11.7,26.8,-7.8,35.2,1.8
2019,0.8,2.0,11.4,24.2,-10.2,33.8,1.8
2020,-5.1,2.4,14.8,17.6,-18.4,38.6,1.8
2021,3.5,9.2,12.5,22.1,-4.2,34.2,1.7
2022,3.4,9.7,11.8,28.4,6.8,31.6,1.7
2023,4.1,7.2,11.1,26.8,4.2,30.4,1.6
