Country,Year,GDP_Growth,Inflation,Unemployment_Rate,Oil_Revenue_Percent,Trade_Balance_GDP,Government_Spending_GDP,Population_Growth,FDI_Percent_GDP
Algeria,2010,3.6,3.9,10.0,32.8,11.4,29.6,1.9,1.2
Algeria,2011,2.8,4.5,10.0,36.2,15.8,31.2,1.9,1.1
Algeria,2012,3.4,8.9,11.0,34.1,6.2,33.4,1.9,0.8
Algeria,2013,2.8,3.3,9.8,32.6,0.8,34.8,1.9,0.7
Algeria,2014,3.8,2.9,10.6,31.4,-4.1,38.2,1.9,0.6
Algeria,2015,3.7,4.8,11.2,22.8,-16.4,42.6,2.0,0.5
Algeria,2016,3.2,6.4,10.5,19.6,-18.2,40.8,1.9,0.4
Algeria,2017,1.4,5.6,11.7,22.4,-12.6,38.4,1.9,0.6
Algeria,2018,1.4,4.3,11.7,26.8,-7.8,35.2,1.8,0.7
Algeria,2019,0.8,2.0,11.4,24.2,-10.2,33.8,1.8,0.5
Algeria,2020,-5.1,2.4,14.8,17.6,-18.4,38.6,1.8,0.3
Algeria,2021,3.5,9.2,12.5,22.1,-4.2,34.2,1.7,0.8
Algeria,2022,3.4,9.7,11.8,28.4,6.8,31.6,1.7,1.1
Algeria,2023,4.1,7.2,11.1,26.8,4.2,30.4,1.6,1.0
Morocco,2010,3.8,1.0,9.1,2.4,-7.2,22.4,1.3,1.6
Morocco,2011,5.2,0.9,8.9,2.2,-8.4,23.8,1.3,2.4
Morocco,2012,2.7,1.3,8.8,2.1,-9.6,24.2,1.2,2.8
Morocco,2013,4.5,1.9,9.2,2.0,-7.8,23.6,1.2,3.4
Morocco,2014,2.4,0.4,9.9,1.8,-6.4,22.8,1.2,3.6
Morocco,2015,4.5,-1.6,9.7,1.6,-2.4,22.4,1.2,3.2
Morocco,2016,1.1,1.6,9.4,1.4,-5.6,21.8,1.1,2.4
Morocco,2017,4.2,0.7,10.2,1.2,-4.8,21.2,1.1,2.6
Morocco,2018,3.1,1.9,9.8,1.1,-6.2,22.4,1.1,3.0
